 ,Area,Mean,Min,Max,IntDen,RawIntDen
1,1555200,115.553,0,413,179707789.000,179707789.000
2,1555200,132.311,0,482,205769405.000,205769405.000
3,1555200,145.909,0,520,226916975.000,226916975.000
4,1555200,154.938,0,560,240959428.000,240959428.000
5,1555200,160.581,0,572,249735531.000,249735531.000
6,1555200,161.391,0,554,250995853.000,250995853.000
7,1555200,157.643,0,566,245167066.000,245167066.000
8,1555200,149.991,0,527,233266251.000,233266251.000
9,1555200,138.047,0,483,214690234.000,214690234.000
10,1555200,122.688,0,432,190804163.000,190804163.000
11,1555200,103.930,0,358,161631480.000,161631480.000
12,1555200,83.519,0,288,129889009.000,129889009.000
